protocol_id,base_protocol_id,object,value,decision_status,decision_ru,rationale_ru,source_reference,locked_before_run
miniboone_nested_cv_v02,miniboone_nested_cv_v01,outer_cv_method,RepeatedStratifiedKFold,inherited_exact,Использовать RepeatedStratifiedKFold.,Внешний контур отделён от выбора гиперпараметров.,v01 protocol lock; scikit-learn nested CV documentation,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,outer_cv_n_splits,5,inherited_exact,Использовать 5 внешних блоков.,Геометрия v01 сохраняется.,v01 protocol lock,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,outer_cv_n_repeats,2,inherited_exact,Использовать 2 внешних повтора.,Геометрия v01 сохраняется.,v01 protocol lock,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,outer_random_state,20260507,inherited_exact,Использовать integer random_state 20260507.,Integer seed обеспечивает повторяемую геометрию split.,notebook cell 26; scikit-learn common pitfalls,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,outer_position_order,repeat_major_then_fold,inherited_exact,Нумеровать внешние блоки по повтору затем по fold.,Порядок ключей и артефактов должен быть детерминирован.,src/mlcra/nested_cv.py,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,inner_cv_method,StratifiedKFold,inherited_exact,Использовать StratifiedKFold только на outer-train.,Исключается использование outer-test при выборе параметров.,v01 protocol lock; scikit-learn nested CV documentation,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,inner_cv_n_splits,3,inherited_exact,Использовать 3 внутренних блока.,Геометрия v01 сохраняется.,v01 protocol lock,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,inner_shuffle,true,inherited_exact,Включить shuffle во внутреннем splitter.,Поведение принятого модульного контракта сохраняется.,src/mlcra/nested_cv.py,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,inner_random_state_policy,20260507+zero_based_outer_split_number,inherited_exact,Получать inner seed как 20260507 плюс номер outer split с нуля.,Сохраняются десять ранее проверенных seed 20260507–20260516.,docs/stages/stage_07_code_modularization.md §32,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,model_order,hist_gradient_boosting;dummy_prior;logistic_regression,inherited_exact,В каждом outer block выполнять tuned HGB затем dummy prior и logistic regression.,Сохраняется порядок строк v01.,notebook cell 29; data_registry/openml_miniboone_nested_outer_scores.csv,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,model_roles,hist_gradient_boosting=tuned_candidate;dummy_prior=lower_bound;logistic_regression=baseline,inherited_exact,Сохранить одну настраиваемую модель и два ненастраиваемых контроля.,Контрольные модели нельзя удалять или настраивать.,v01 protocol lock; src/mlcra/nested_cv.py,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,hgb_model_space,miniboone_hist_gradient_boosting_nested_space,inherited_exact,Использовать только принятую сетку из model-space CSV.,Post-hoc расширение сетки запрещено.,configs/model_spaces/miniboone_hist_gradient_boosting_nested_space.csv,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,primary_scoring,average_precision,inherited_exact,Выбирать HGB по average_precision.,Основная метрика v01 сохраняется.,v01 protocol lock; scikit-learn average_precision_score,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,metric_contract,roc_auc;average_precision;pr_auc_alias_average_precision;f1;balanced_accuracy;log_loss;brier_score,inherited_exact,Сформировать семь исторических полей по шести бинарным метрикам.,pr_auc остаётся совместимым псевдонимом average_precision.,src/mlcra/metrics.py; docs/stages/stage_07_code_modularization.md §28,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,gridsearch_contract,scoring=average_precision;refit=true;n_jobs=1;return_train_score=false;error_score=raise,inherited_exact,Сохранить принятые параметры GridSearchCV.,Изменение tuning contract могло бы изменить selected params.,notebook cell 29; src/mlcra/nested_cv.py,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,numeric_runtime_contract,miniboone_nested_numeric_runtime_v01,prospective_delta,Для v02 обязательно применить зарегистрированный численный runtime-контракт.,Это единственное намеренное отличие вычислительного протокола от v01.,configs/runtime/miniboone_nested_numeric_runtime_v01.csv; Stage 7 §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,numeric_policy,prospective_single_thread_exact_same_backend,prospective_delta,Требовать exact identity двух OpenBLAS и один BLAS-поток на fit/predict.,Политика прямо присвоена John до v02 scientific run.,NEXT_BLOCK_AUTHORIZED ST07_14; Stage 7 §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,golden_policy,preserve_existing_v01_golden,prospective_delta,Не изменять и не переинтерпретировать шесть v01 golden-master файлов.,Новый v02 не исправляет post-hoc результат ST07_13.,ST07_14_GOLDEN_POLICY; Stage 7 §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,validation_run_count,2,prospective_validation,Выполнить два изолированных полных candidate run в одной зарегистрированной среде.,Два запуска дают проверяемое основание same-environment repeatability.,"NIST AI RMF Measure; bio-inspired standard §§18,20",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,validation_run_isolation,fresh_process_and_separate_temporary_directory_per_run,prospective_validation,Каждый run выполнять в новом процессе и отдельном временном каталоге.,Исключается скрытое переиспользование mutable state и результатов первого run.,"NIST TEVV; bio-inspired standard §§7,13",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,network_policy,offline_cache_only_no_force_refresh,prospective_validation,Использовать только локальный OpenML cache без сетевого обновления.,Изменение удалённого dataset state нарушило бы воспроизводимость.,OpenML dataset API documentation; Stage 7 §35,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,artifact_count,7,prospective_validation,Каждый run должен сформировать семь candidate-артефактов.,К шести v01 классам добавляется численное runtime evidence.,"Stage 7 §§23,39",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,artifact_namespace,openml_miniboone_nested_v02_*,prospective_validation,Использовать отдельные v02 имена; до promotion хранить run_a и run_b только во временных каталогах.,Исключается перезапись v01 и преждевременная канонизация.,roadmap artifact policy; Stage 7 §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,comparison_class_A,exact_structure_order_keys_ids_splits_params_status_environment_runtime,prospective_validation,Сравнивать структуру и контрактные поля точно.,Контрактные инварианты не допускают численного tolerance.,NIST TEVV; pandas assert_frame_equal documentation,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,comparison_class_B,exact_deterministic_numeric_after_csv_roundtrip,prospective_validation,Сравнивать метрики и иные детерминированные числа точно после CSV roundtrip.,Same-backend single-thread policy проектируется для точного повторения.,"Stage 7 §§23,39; pandas assert_frame_equal",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,comparison_class_C,finite_nonnegative_not_exact,prospective_validation,Для fit_seconds и predict_seconds требовать конечность и неотрицательность без равенства.,Wall-clock timing зависит от нагрузки среды.,Stage 7 §23,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,comparison_class_D,exact_raw_warning_multiset_after_stable_sort,prospective_validation,Сравнивать полный multiset warning записей после стабильной сортировки без удаления сообщений.,Warning mismatch ST07_13 нельзя маскировать.,"Stage 7 §§37,39",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,warning_policy,capture_all_no_suppression_no_result_driven_normalization,prospective_validation,Не подавлять warnings и не менять правила после просмотра run_a.,Предотвращается post-hoc получение PASS.,"Stage 7 §§35,39",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,promotion_gate,A_PASS_AND_B_PASS_AND_C_PASS_AND_D_PASS_AND_quality_all_pass_AND_protected_unchanged_AND_john_acceptance,prospective_validation,Результат может стать отдельным v02 golden только после всех проверок и принятия John.,Локальное выполнение не равно пользовательскому принятию.,"ML-CRA working contract §§8,10",yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,cross_environment_policy,blocked_without_separate_calibration,prospective_validation,Не переносить exact verdict на иной CPU/backend/version без отдельной калибровки.,ST07_14 не доказывает межмашинную bitwise equality.,configs/runtime/miniboone_nested_numeric_runtime_v01.csv; Stage 7 §39,yes
miniboone_nested_cv_v02,miniboone_nested_cv_v01,claim_policy,no_claim_or_verdict_change,inherited_exact,Не пересматривать claim и verdict Stage 5 в рамках v02 reproducibility validation.,"Проверяется вычислительный контракт, а не универсальное превосходство модели.",roadmap.md; docs/stages/stage_05_claim_audit_protocol.md,yes
