requirement_id,dimension_id,dimension_name,requirement,authoritative_basis,local_evidence_paths,verification_method,pass_rule,fail_rule,blocked_rule,aggregation_role,design_status
ST08-REQ-11,D04,reproducibility_and_provenance,"A documented command reproduces the supported smoke or audit path with registered inputs and no hidden network dependency.","National Academies reproducibility guidance; NIST SSDF PS.3","README.md|docs/stages/stage_06_packaging_and_publication.md|scripts/|data_registry/",fresh_process_reproduction,"The documented command succeeds from a clean copy using declared inputs and produces contract-valid outputs.","The command is absent, fails, uses undeclared inputs, or silently requires network access.","An authorized expensive run or unavailable external resource is indispensable.",mandatory,NOT_EVALUATED
ST08-REQ-12,D04,reproducibility_and_provenance,"Canonical artifacts, checkpoints, environment, numeric backend, and source provenance are integrity-bound and independently checkable.","NIST SSDF PS.2 and PS.3; NASA requirements traceability practice","data_registry/|configs/runtime/|docs/agent/|C:/Users/Vanargo/Downloads/ml-cra_v51.zip",hash_manifest_provenance_and_archive_validation,"Required hashes, provenance fields, archive inventory, uniqueness, and exclusions validate exactly.","A required hash/provenance mismatch, duplicate, omission, or forbidden cache artifact exists.","An external checkpoint required by a registered gate is inaccessible.",mandatory,NOT_EVALUATED
ST08-REQ-13,D05,documentation_and_usability,"A root entry document identifies purpose, bounded claim, prerequisites, supported workflow, evidence, limitations, and status.","ISO/IEC/IEEE 29148:2018; ISO/IEC 25010:2023","README.md|roadmap.md|docs/stages/",documentation_content_review,"A current root entry document contains all mandatory sections with valid paths.","The document is absent, materially incomplete, misleading, or references obsolete paths.","John has not selected the intended external audience or language policy where that changes content.",mandatory,NOT_EVALUATED
ST08-REQ-14,D05,documentation_and_usability,"Installation, verification, reproduction, and troubleshooting instructions are executable and mutually consistent.","ISO/IEC 25010:2023; NIST SP 500-234","README.md|docs/stages/stage_06_packaging_and_publication.md|scripts/agent_verify.py",instruction_walkthrough_and_command_test,"Every required instruction is complete and its command succeeds in the declared context.","A mandatory instruction is absent, contradictory, or fails when followed.","Execution depends on an unavailable prerequisite outside the authorized environment.",mandatory,NOT_EVALUATED
ST08-REQ-15,D05,documentation_and_usability,"Current normative documentation is separated from historical records and uses exact repository-relative paths and bounded terminology.","ISO/IEC/IEEE 15289 linkage from ISO/IEC/IEEE 15288:2023; ML-CRA working contract","roadmap.md|docs/stages/|docs/archive/",documentary_consistency_and_link_check,"All current paths resolve, historical material is labelled, and normative/current statements do not conflict.","A broken current path, unlabeled historical assertion, or normative contradiction exists.","The owner must resolve two equally authoritative but conflicting decisions.",mandatory,NOT_EVALUATED
ST08-REQ-16,D06,packaging_and_distribution,"If ML-CRA is to be distributed as a Python package, standardized build and project metadata explicitly define name, version, Python requirement, dependencies, and package contents; otherwise distribution is explicitly not claimed.","Python Packaging User Guide pyproject.toml specification","pyproject.toml|src/mlcra/|roadmap.md",packaging_metadata_or_explicit_non_distribution_review,"Either valid standardized metadata builds the intended package or current documentation explicitly limits the project to a non-distributed research snapshot.","Distribution is claimed without valid metadata/build, or metadata omits a mandatory declared property.","John has not decided whether Python-package distribution is a current release target.",mandatory,NOT_EVALUATED
ST08-REQ-17,D06,packaging_and_distribution,"Any claimed distribution artifact installs into a clean environment and imports/runs the supported interface.","Python Packaging User Guide packaging flow; ISO/IEC 25040:2024","dist/|pyproject.toml|src/mlcra/",build_install_import_smoke_test,"A freshly built artifact installs and its supported smoke command passes without workspace leakage.","A claimed artifact cannot be built, installed, imported, or executed as documented.","No distribution artifact is required because John approved a non-distributed release class.",conditional,NOT_EVALUATED
ST08-REQ-18,D06,packaging_and_distribution,"Release inventory excludes environments, caches, temporary/candidate outputs, secrets, and unregistered local analytics while including every required artifact.","NIST SSDF PS.2 and PS.3; ML-CRA checkpoint rules","docs/agent/|data_registry/|release_or_checkpoint_archive",archive_allowlist_denylist_and_secret_scan,"Inventory is unique, complete, hash-bound, and contains no forbidden or secret-bearing file.","A required file is missing or a forbidden, duplicate, temporary, or secret-bearing file is present.","The intended release class and corresponding required inventory are not yet approved.",mandatory,NOT_EVALUATED
ST08-REQ-19,D07,legal_and_citation,"The repository has an explicit John-approved license consistent with any open-source claim, or it explicitly states that redistribution rights are not granted.","GitHub Docs licensing a repository; Python Packaging User Guide licensing guidance","LICENSE|LICENSE.txt|LICENSE.md|README.md|pyproject.toml",license_presence_consistency_and_owner_decision,"License text and metadata are present and consistent, or the approved non-open status is explicit.","Open-source or redistribution is claimed without a compatible license, or license declarations conflict.","Only John can choose the project license or non-open distribution policy.",mandatory,NOT_EVALUATED
ST08-REQ-20,D07,legal_and_citation,"Dataset source, license/terms, citation, and redistribution constraints are documented for every externally distributed data-related artifact.","OpenML terms/metadata; Stage 2 dataset admission contract","docs/dataset_selection/|data_registry/dataset_candidate_registry.csv|release_or_checkpoint_archive",dataset_provenance_license_and_distribution_review,"Every included dataset-derived artifact has traceable source/terms and an allowed distribution disposition.","An included artifact lacks provenance/terms or violates a documented distribution constraint.","The authoritative dataset license or redistribution permission cannot be established.",mandatory,NOT_EVALUATED
ST08-REQ-21,D07,legal_and_citation,"Software and scientific outputs have machine-readable citation metadata or an explicitly approved alternative citation instruction.","Citation File Format 1.2.0 documentation; FORCE11 software citation principles","CITATION.cff|README.md|docs/stages/stage_06_packaging_and_publication.md",citation_schema_and_content_validation,"Citation metadata validates and identifies creators, title, version/status, and preferred citation, or an approved alternative is complete.","External scientific release is claimed without usable citation metadata/instructions.","Creator identity, preferred citation, or release identifier requires John input.",mandatory,NOT_EVALUATED
ST08-REQ-22,D08,governance_security_and_release,"Release-relevant security risks, dependency risks, secrets, and provenance controls are assessed with recorded dispositions.","NIST SP 800-218 SSDF; NIST IR 8397","src/|scripts/|pyproject.toml|requirements.txt|release_or_checkpoint_archive",risk_review_static_checks_secret_scan_and_provenance_check,"Applicable checks pass and every finding has an accepted disposition or bounded non-release classification.","An unmitigated release-blocking finding exists or a required control is absent.","A necessary scanner/advisory source is unavailable and risk cannot be bounded locally.",mandatory,NOT_EVALUATED
ST08-REQ-23,D08,governance_security_and_release,"All FAIL, BLOCKED, SKIPPED, deferred outputs, known limitations, and residual risks are registered with owner and disposition before a release decision.","NASA NPR 7123.1D review completion; NIST AI RMF MANAGE","roadmap.md|docs/stages/stage_08_project_completion_and_release_readiness.md|data_registry/stage08_project_completion_and_release_readiness_audit_evidence_v01.json",open_item_and_residual_risk_reconciliation,"No finding is silent; every non-PASS item has severity, owner, consequence, and accepted disposition/plan.","A release-blocking item is unresolved or an observed finding is omitted.","A required disposition is reserved for John and has not been provided.",mandatory,NOT_EVALUATED
ST08-REQ-24,D08,governance_security_and_release,"Project completion and release readiness are decided separately by an explicit fail-closed aggregation and John acceptance.","NIST AI RMF MANAGE 1.1; NASA NPR 7123.1D §5.2.3; ISO/IEC 25040:2024","configs/project_readiness/stage08_project_completion_and_release_readiness_requirements_v01.csv|data_registry/stage08_project_completion_and_release_readiness_audit_evidence_v01.json|roadmap.md",independent_recalculation_of_dimension_and_aggregate_verdicts,"All dimension and aggregate verdicts recompute exactly and John separately accepts any transition/release decision.","An aggregate is overstated, dimensions are conflated, or release proceeds without John decision.","One or more mandatory requirements is BLOCKED/NOT_EVALUATED or John decision is pending.",mandatory,NOT_EVALUATED
